epoch=0, mean cost=2.30203771591, total_time(mins)=0.0304952859879, eta=0.01, iters=499
epoch=1, mean cost=2.3014087677, total_time(mins)=0.068367600441, eta=0.00999002995011, iters=998
epoch=2, mean cost=2.30117964745, total_time(mins)=0.0993620355924, eta=0.0099800797608, iters=1497
epoch=3, mean cost=2.30109596252, total_time(mins)=0.135948216915, eta=0.00997014937278, iters=1996
epoch=4, mean cost=2.30106496811, total_time(mins)=0.171564253171, eta=0.009960238727, iters=2495
epoch=5, mean cost=2.3010532856, total_time(mins)=0.204904901981, eta=0.00995034776465, iters=2994
epoch=6, mean cost=2.30104827881, total_time(mins)=0.247908119361, eta=0.00994047642715, iters=3493
epoch=7, mean cost=2.30104637146, total_time(mins)=0.290789568424, eta=0.00993062465615, iters=3992
epoch=8, mean cost=2.30104541779, total_time(mins)=0.334639036655, eta=0.00992079239353, iters=4491
epoch=9, mean cost=2.30104541779, total_time(mins)=0.374284366767, eta=0.0099109795814, iters=4990
epoch=10, mean cost=2.30104494095, total_time(mins)=0.418780434132, eta=0.0099011861621, iters=5489
epoch=11, mean cost=2.30104470253, total_time(mins)=0.460721302032, eta=0.00989141207821, iters=5988
epoch=12, mean cost=2.30104470253, total_time(mins)=0.502986466885, eta=0.0098816572725, iters=6487
epoch=13, mean cost=2.30104470253, total_time(mins)=0.546599336465, eta=0.00987192168802, iters=6986
epoch=14, mean cost=2.30104446411, total_time(mins)=0.597465852896, eta=0.009862205268, iters=7485
epoch=15, mean cost=2.30104446411, total_time(mins)=0.649530518055, eta=0.0098525079559, iters=7984
epoch=16, mean cost=2.30104446411, total_time(mins)=0.708185553551, eta=0.00984282969542, iters=8483
epoch=17, mean cost=2.30104422569, total_time(mins)=0.754654518763, eta=0.00983317043048, iters=8982
epoch=18, mean cost=2.30104422569, total_time(mins)=0.806516985099, eta=0.00982353010519, iters=9481
epoch=19, mean cost=2.30104398727, total_time(mins)=0.849557566643, eta=0.00981390866391, iters=9980
epoch=20, mean cost=2.30104398727, total_time(mins)=0.88414307038, eta=0.00980430605122, iters=10479
epoch=21, mean cost=2.30104398727, total_time(mins)=0.920858784517, eta=0.00979472221188, iters=10978
epoch=22, mean cost=2.30104398727, total_time(mins)=0.956596585115, eta=0.00978515709091, iters=11477
epoch=23, mean cost=2.30104374886, total_time(mins)=0.992534403006, eta=0.00977561063352, iters=11976
epoch=24, mean cost=2.30104351044, total_time(mins)=1.03376238346, eta=0.00976608278513, iters=12475
epoch=25, mean cost=2.30104351044, total_time(mins)=1.07637331883, eta=0.00975657349139, iters=12974
epoch=26, mean cost=2.30104351044, total_time(mins)=1.11920830011, eta=0.00974708269815, iters=13473
epoch=27, mean cost=2.30104351044, total_time(mins)=1.16033985217, eta=0.00973761035147, iters=13972
epoch=28, mean cost=2.3010430336, total_time(mins)=1.20705717007, eta=0.00972815639762, iters=14471
epoch=29, mean cost=2.3010430336, total_time(mins)=1.24896740119, eta=0.0097187207831, iters=14970
epoch=30, mean cost=2.3010430336, total_time(mins)=1.29042456945, eta=0.00970930345457, iters=15469
epoch=31, mean cost=2.3010430336, total_time(mins)=1.33222830296, eta=0.00969990435894, iters=15968
epoch=32, mean cost=2.30104279518, total_time(mins)=1.37518733342, eta=0.00969052344331, iters=16467
epoch=33, mean cost=2.30104255676, total_time(mins)=1.41700253487, eta=0.00968116065499, iters=16966
epoch=34, mean cost=2.30104255676, total_time(mins)=1.45903128386, eta=0.00967181594147, iters=17465
epoch=35, mean cost=2.30104207993, total_time(mins)=1.50046093464, eta=0.00966248925048, iters=17964
