epoch=0, mean cost=1.57935500145, total_time(mins)=0.0317509651184, eta=0.01, iters=499
epoch=1, mean cost=0.694148123264, total_time(mins)=0.0632598161697, eta=0.00999002995011, iters=998
epoch=2, mean cost=0.494434028864, total_time(mins)=0.0946316639582, eta=0.0099800797608, iters=1497
epoch=3, mean cost=0.416910111904, total_time(mins)=0.127257966995, eta=0.00997014937278, iters=1996
epoch=4, mean cost=0.375721871853, total_time(mins)=0.158539148172, eta=0.009960238727, iters=2495
epoch=5, mean cost=0.349516481161, total_time(mins)=0.19000001351, eta=0.00995034776465, iters=2994
epoch=6, mean cost=0.330727577209, total_time(mins)=0.221772317092, eta=0.00994047642715, iters=3493
epoch=7, mean cost=0.316138625145, total_time(mins)=0.254330996672, eta=0.00993062465615, iters=3992
epoch=8, mean cost=0.3041664958, total_time(mins)=0.286613881588, eta=0.00992079239353, iters=4491
epoch=9, mean cost=0.293937325478, total_time(mins)=0.317972115676, eta=0.0099109795814, iters=4990
epoch=10, mean cost=0.284925311804, total_time(mins)=0.349489967028, eta=0.0099011861621, iters=5489
epoch=11, mean cost=0.276794403791, total_time(mins)=0.381760780017, eta=0.00989141207821, iters=5988
epoch=12, mean cost=0.269320189953, total_time(mins)=0.413793313503, eta=0.0098816572725, iters=6487
epoch=13, mean cost=0.262348502874, total_time(mins)=0.44669851462, eta=0.00987192168802, iters=6986
epoch=14, mean cost=0.25577121973, total_time(mins)=0.478671248754, eta=0.009862205268, iters=7485
epoch=15, mean cost=0.24951171875, total_time(mins)=0.510685714086, eta=0.0098525079559, iters=7984
epoch=16, mean cost=0.243515625596, total_time(mins)=0.544514898459, eta=0.00984282969542, iters=8483
epoch=17, mean cost=0.237744539976, total_time(mins)=0.577855964502, eta=0.00983317043048, iters=8982
epoch=18, mean cost=0.232171714306, total_time(mins)=0.613113466899, eta=0.00982353010519, iters=9481
epoch=19, mean cost=0.226778805256, total_time(mins)=0.648542197545, eta=0.00981390866391, iters=9980
epoch=20, mean cost=0.22155366838, total_time(mins)=0.684724247456, eta=0.00980430605122, iters=10479
epoch=21, mean cost=0.216488286853, total_time(mins)=0.721016800404, eta=0.00979472221188, iters=10978
epoch=22, mean cost=0.211577519774, total_time(mins)=0.756391847134, eta=0.00978515709091, iters=11477
epoch=23, mean cost=0.206817924976, total_time(mins)=0.793118866285, eta=0.00977561063352, iters=11976
epoch=24, mean cost=0.202207028866, total_time(mins)=0.829672964414, eta=0.00976608278513, iters=12475
epoch=25, mean cost=0.197742596269, total_time(mins)=0.866515183449, eta=0.00975657349139, iters=12974
epoch=26, mean cost=0.193422362208, total_time(mins)=0.90251446565, eta=0.00974708269815, iters=13473
epoch=27, mean cost=0.18924382329, total_time(mins)=0.939011847973, eta=0.00973761035147, iters=13972
epoch=28, mean cost=0.185204058886, total_time(mins)=0.976985681057, eta=0.00972815639762, iters=14471
epoch=29, mean cost=0.181299820542, total_time(mins)=1.01301091512, eta=0.0097187207831, iters=14970
epoch=30, mean cost=0.177527442575, total_time(mins)=1.05022536516, eta=0.00970930345457, iters=15469
epoch=31, mean cost=0.173882976174, total_time(mins)=1.08704039653, eta=0.00969990435894, iters=15968
epoch=32, mean cost=0.170362234116, total_time(mins)=1.12412851652, eta=0.00969052344331, iters=16467
epoch=33, mean cost=0.16696088016, total_time(mins)=1.16061966419, eta=0.00968116065499, iters=16966
epoch=34, mean cost=0.163674473763, total_time(mins)=1.1987169981, eta=0.00967181594147, iters=17465
epoch=35, mean cost=0.160498514771, total_time(mins)=1.23535439968, eta=0.00966248925048, iters=17964
epoch=36, mean cost=0.15742854774, total_time(mins)=1.27252956629, eta=0.00965318052992, iters=18463
epoch=37, mean cost=0.154460147023, total_time(mins)=1.3102109313, eta=0.00964388972791, iters=18962
epoch=38, mean cost=0.151588961482, total_time(mins)=1.34685943127, eta=0.00963461679275, iters=19461
epoch=39, mean cost=0.148810759187, total_time(mins)=1.38420736392, eta=0.00962536167296, iters=19960
epoch=40, mean cost=0.146121457219, total_time(mins)=1.421953698, eta=0.00961612431726, iters=20459
epoch=41, mean cost=0.143517106771, total_time(mins)=1.46013669968, eta=0.00960690467453, iters=20958
epoch=42, mean cost=0.140993908048, total_time(mins)=1.4969656984, eta=0.00959770269388, iters=21457
epoch=43, mean cost=0.138548225164, total_time(mins)=1.53529551427, eta=0.00958851832462, iters=21956
epoch=44, mean cost=0.13617657125, total_time(mins)=1.57328598102, eta=0.00957935151622, iters=22455
epoch=45, mean cost=0.133875668049, total_time(mins)=1.6125507315, eta=0.00957020221837, iters=22954
epoch=46, mean cost=0.131642326713, total_time(mins)=1.64956473112, eta=0.00956107038095, iters=23453
epoch=47, mean cost=0.12947358191, total_time(mins)=1.68691899776, eta=0.00955195595402, iters=23952
epoch=48, mean cost=0.127366572618, total_time(mins)=1.72523499727, eta=0.00954285888784, iters=24451
epoch=49, mean cost=0.125318586826, total_time(mins)=1.76284058094, eta=0.00953377913285, iters=24950
epoch=50, mean cost=0.123327054083, total_time(mins)=1.80177036524, eta=0.00952471663968, iters=25449
epoch=51, mean cost=0.121389567852, total_time(mins)=1.83940618038, eta=0.00951567135916, iters=25948
epoch=52, mean cost=0.119503796101, total_time(mins)=1.92439884742, eta=0.0095066432423, iters=26447
epoch=53, mean cost=0.11766756326, total_time(mins)=2.03744055033, eta=0.00949763224028, iters=26946
epoch=54, mean cost=0.115878812969, total_time(mins)=2.15102311373, eta=0.00948863830449, iters=27445
epoch=55, mean cost=0.114135555923, total_time(mins)=2.26379274925, eta=0.0094796613865, iters=27944
epoch=56, mean cost=0.112435944378, total_time(mins)=2.37756098111, eta=0.00947070143803, iters=28443
epoch=57, mean cost=0.110778234899, total_time(mins)=2.49075016578, eta=0.00946175841103, iters=28942
epoch=58, mean cost=0.109160736203, total_time(mins)=2.60601239999, eta=0.0094528322576, iters=29441
epoch=59, mean cost=0.107581876218, total_time(mins)=2.71809006532, eta=0.00944392293003, iters=29940
epoch=60, mean cost=0.106040179729, total_time(mins)=2.83227061431, eta=0.0094350303808, iters=30439
epoch=61, mean cost=0.104534193873, total_time(mins)=2.94498558044, eta=0.00942615456254, iters=30938
epoch=62, mean cost=0.103062607348, total_time(mins)=3.05907658339, eta=0.00941729542809, iters=31437
epoch=63, mean cost=0.101624131203, total_time(mins)=3.17455049753, eta=0.00940845293045, iters=31936
epoch=64, mean cost=0.100217558444, total_time(mins)=3.28616374731, eta=0.0093996270228, iters=32435
epoch=65, mean cost=0.0988417640328, total_time(mins)=3.40053606431, eta=0.00939081765849, iters=32934
epoch=66, mean cost=0.0974956527352, total_time(mins)=3.5133577466, eta=0.00938202479106, iters=33433
epoch=67, mean cost=0.0961781814694, total_time(mins)=3.5807585001, eta=0.00937324837421, iters=33932
epoch=68, mean cost=0.09488838166, total_time(mins)=3.64047676325, eta=0.00936448836181, iters=34431
epoch=69, mean cost=0.0936253219843, total_time(mins)=3.67377313375, eta=0.00935574470792, iters=34930
epoch=70, mean cost=0.0923881158233, total_time(mins)=3.70782044729, eta=0.00934701736676, iters=35429
epoch=71, mean cost=0.0911759212613, total_time(mins)=3.74095166524, eta=0.00933830629271, iters=35928
epoch=72, mean cost=0.0899879187346, total_time(mins)=3.77434558074, eta=0.00932961144034, iters=36427
epoch=73, mean cost=0.0888233408332, total_time(mins)=3.80759329796, eta=0.00932093276438, iters=36926
epoch=74, mean cost=0.0876814499497, total_time(mins)=3.84117219845, eta=0.00931227021973, iters=37425
epoch=75, mean cost=0.0865615531802, total_time(mins)=3.8747369806, eta=0.00930362376146, iters=37924
epoch=76, mean cost=0.0854629799724, total_time(mins)=3.90811988115, eta=0.00929499334478, iters=38423
epoch=77, mean cost=0.0843850672245, total_time(mins)=3.94153001706, eta=0.00928637892512, iters=38922
epoch=78, mean cost=0.0833272188902, total_time(mins)=3.97502008279, eta=0.00927778045803, iters=39421
epoch=79, mean cost=0.0822888314724, total_time(mins)=4.0086912632, eta=0.00926919789923, iters=39920
epoch=80, mean cost=0.0812693238258, total_time(mins)=4.04233259757, eta=0.00926063120462, iters=40419
epoch=81, mean cost=0.0802681818604, total_time(mins)=4.07575718164, eta=0.00925208033026, iters=40918
epoch=82, mean cost=0.0792848542333, total_time(mins)=4.10992724895, eta=0.00924354523236, iters=41417
epoch=83, mean cost=0.078318849206, total_time(mins)=4.14365211328, eta=0.00923502586731, iters=41916
epoch=84, mean cost=0.0773696750402, total_time(mins)=4.17703075012, eta=0.00922652219163, iters=42415
epoch=85, mean cost=0.0764368698001, total_time(mins)=4.21076112986, eta=0.00921803416203, iters=42914
epoch=86, mean cost=0.0755199715495, total_time(mins)=4.24423619906, eta=0.00920956173538, iters=43413
