epoch=0, mean cost=1.41292142868, total_time(mins)=0.0319644331932, eta=0.01, iters=499
epoch=1, mean cost=0.991451025009, total_time(mins)=0.0639315168063, eta=0.00999002995011, iters=998
epoch=2, mean cost=0.898006975651, total_time(mins)=0.0954768180847, eta=0.0099800797608, iters=1497
epoch=3, mean cost=0.853037238121, total_time(mins)=0.130956466993, eta=0.00997014937278, iters=1996
epoch=4, mean cost=0.82564997673, total_time(mins)=0.171715732416, eta=0.009960238727, iters=2495
epoch=5, mean cost=0.806802511215, total_time(mins)=0.208903284868, eta=0.00995034776465, iters=2994
epoch=6, mean cost=0.792829394341, total_time(mins)=0.24638696909, eta=0.00994047642715, iters=3493
epoch=7, mean cost=0.781898856163, total_time(mins)=0.28372913599, eta=0.00993062465615, iters=3992
epoch=8, mean cost=0.773032486439, total_time(mins)=0.321210551262, eta=0.00992079239353, iters=4491
epoch=9, mean cost=0.765639424324, total_time(mins)=0.358623834451, eta=0.0099109795814, iters=4990
epoch=10, mean cost=0.759352684021, total_time(mins)=0.39587593476, eta=0.0099011861621, iters=5489
epoch=11, mean cost=0.753898322582, total_time(mins)=0.433541699251, eta=0.00989141207821, iters=5988
epoch=12, mean cost=0.749079227448, total_time(mins)=0.470125901699, eta=0.0098816572725, iters=6487
epoch=13, mean cost=0.744794487953, total_time(mins)=0.507161835829, eta=0.00987192168802, iters=6986
epoch=14, mean cost=0.740939080715, total_time(mins)=0.544330366453, eta=0.009862205268, iters=7485
epoch=15, mean cost=0.737411499023, total_time(mins)=0.584764949481, eta=0.0098525079559, iters=7984
epoch=16, mean cost=0.734163224697, total_time(mins)=0.624779935678, eta=0.00984282969542, iters=8483
epoch=17, mean cost=0.731143772602, total_time(mins)=0.665208685398, eta=0.00983317043048, iters=8982
epoch=18, mean cost=0.728333711624, total_time(mins)=0.705674568812, eta=0.00982353010519, iters=9481
epoch=19, mean cost=0.725690543652, total_time(mins)=0.746179548899, eta=0.00981390866391, iters=9980
epoch=20, mean cost=0.723213136196, total_time(mins)=0.788835084438, eta=0.00980430605122, iters=10479
epoch=21, mean cost=0.720894813538, total_time(mins)=0.830190467834, eta=0.00979472221188, iters=10978
epoch=22, mean cost=0.718694329262, total_time(mins)=0.872243833542, eta=0.00978515709091, iters=11477
epoch=23, mean cost=0.716615796089, total_time(mins)=0.9147808671, eta=0.00977561063352, iters=11976
epoch=24, mean cost=0.714625775814, total_time(mins)=0.956946917375, eta=0.00976608278513, iters=12475
epoch=25, mean cost=0.712724924088, total_time(mins)=0.999605834484, eta=0.00975657349139, iters=12974
epoch=26, mean cost=0.710909128189, total_time(mins)=1.04293736617, eta=0.00974708269815, iters=13473
epoch=27, mean cost=0.709161520004, total_time(mins)=1.08582338492, eta=0.00973761035147, iters=13972
epoch=28, mean cost=0.707473635674, total_time(mins)=1.12836856842, eta=0.00972815639762, iters=14471
epoch=29, mean cost=0.705859899521, total_time(mins)=1.17162953218, eta=0.0097187207831, iters=14970
epoch=30, mean cost=0.704305410385, total_time(mins)=1.21500851711, eta=0.00970930345457, iters=15469
epoch=31, mean cost=0.702813982964, total_time(mins)=1.25972878536, eta=0.00969990435894, iters=15968
epoch=32, mean cost=0.701373279095, total_time(mins)=1.30434443553, eta=0.00969052344331, iters=16467
epoch=33, mean cost=0.699974954128, total_time(mins)=1.34863659938, eta=0.00968116065499, iters=16966
epoch=34, mean cost=0.698610901833, total_time(mins)=1.39159173568, eta=0.00967181594147, iters=17465
epoch=35, mean cost=0.697270154953, total_time(mins)=1.43579376539, eta=0.00966248925048, iters=17964
epoch=36, mean cost=0.695934712887, total_time(mins)=1.47941978375, eta=0.00965318052992, iters=18463
epoch=37, mean cost=0.69462954998, total_time(mins)=1.52392008305, eta=0.00964388972791, iters=18962
epoch=38, mean cost=0.693382203579, total_time(mins)=1.5684741656, eta=0.00963461679275, iters=19461
epoch=39, mean cost=0.692175507545, total_time(mins)=1.61455033223, eta=0.00962536167296, iters=19960
epoch=40, mean cost=0.691003799438, total_time(mins)=1.66022296747, eta=0.00961612431726, iters=20459
epoch=41, mean cost=0.689866304398, total_time(mins)=1.70539628267, eta=0.00960690467453, iters=20958
epoch=42, mean cost=0.688766896725, total_time(mins)=1.75176321665, eta=0.00959770269388, iters=21457
epoch=43, mean cost=0.687699735165, total_time(mins)=1.79757480224, eta=0.00958851832462, iters=21956
epoch=44, mean cost=0.686661958694, total_time(mins)=1.84668776592, eta=0.00957935151622, iters=22455
epoch=45, mean cost=0.685645639896, total_time(mins)=1.88871548573, eta=0.00957020221837, iters=22954
epoch=46, mean cost=0.684651076794, total_time(mins)=1.93094201883, eta=0.00956107038095, iters=23453
epoch=47, mean cost=0.683676540852, total_time(mins)=1.97252470255, eta=0.00955195595402, iters=23952
epoch=48, mean cost=0.682721912861, total_time(mins)=2.01462468306, eta=0.00954285888784, iters=24451
epoch=49, mean cost=0.681791484356, total_time(mins)=2.05991968314, eta=0.00953377913285, iters=24950
epoch=50, mean cost=0.680874168873, total_time(mins)=2.10395580133, eta=0.00952471663968, iters=25449
epoch=51, mean cost=0.679974734783, total_time(mins)=2.14553565184, eta=0.00951567135916, iters=25948
epoch=52, mean cost=0.67909270525, total_time(mins)=2.18959190051, eta=0.0095066432423, iters=26447
epoch=53, mean cost=0.678223192692, total_time(mins)=2.23697621822, eta=0.00949763224028, iters=26946
epoch=54, mean cost=0.677364110947, total_time(mins)=2.28892806768, eta=0.00948863830449, iters=27445
epoch=55, mean cost=0.676524102688, total_time(mins)=2.33244931698, eta=0.0094796613865, iters=27944
epoch=56, mean cost=0.675703883171, total_time(mins)=2.37853201628, eta=0.00947070143803, iters=28443
epoch=57, mean cost=0.674904167652, total_time(mins)=2.42312415044, eta=0.00946175841103, iters=28942
epoch=58, mean cost=0.674127936363, total_time(mins)=2.46627850135, eta=0.0094528322576, iters=29441
epoch=59, mean cost=0.673377215862, total_time(mins)=2.50960578521, eta=0.00944392293003, iters=29940
epoch=60, mean cost=0.672640025616, total_time(mins)=2.55937054952, eta=0.0094350303808, iters=30439
epoch=61, mean cost=0.671910047531, total_time(mins)=2.60793353319, eta=0.00942615456254, iters=30938
epoch=62, mean cost=0.671186625957, total_time(mins)=2.66141230265, eta=0.00941729542809, iters=31437
